iter	Passed	Remaining
767	1037	313
768	1038	311
769	1039	310
770	1040	308
771	1041	307
772	1043	306
773	1044	305
774	1045	303
775	1046	302
776	1047	300
777	1048	299
778	1049	297
779	1050	296
780	1051	294
781	1052	293
782	1053	292
783	1054	290
784	1055	289
785	1057	287
786	1060	286
787	1061	285
788	1062	284
789	1063	282
790	1064	281
791	1065	279
792	1066	278
793	1067	276
794	1068	275
795	1069	274
796	1070	272
797	1071	271
798	1074	270
799	1075	268
800	1076	267
801	1077	266
802	1078	264
803	1079	263
804	1080	261
805	1081	260
806	1082	258
807	1083	257
808	1084	255
809	1085	254
810	1086	253
811	1089	252
812	1090	250
813	1091	249
814	1092	247
815	1093	246
816	1094	245
817	1095	243
818	1096	242
819	1097	240
820	1098	239
821	1100	238
822	1101	236
823	1102	235
824	1103	234
825	1105	232
826	1106	231
827	1107	230
828	1108	228
829	1109	227
830	1110	225
831	1111	224
832	1112	223
833	1114	221
834	1115	220
835	1118	219
836	1119	217
837	1120	216
838	1121	215
839	1123	213
840	1124	212
841	1125	211
842	1126	209
843	1127	208
844	1128	206
845	1128	205
846	1129	204
847	1132	203
848	1133	201
849	1135	200
850	1136	198
851	1137	197
852	1138	196
853	1139	194
854	1140	193
855	1140	191
856	1141	190
857	1142	189
858	1143	187
859	1144	186
860	1145	184
861	1148	183
862	1149	182
863	1150	181
864	1151	179
865	1152	178
866	1153	176
867	1153	175
868	1154	174
869	1155	172
870	1156	171
871	1157	169
872	1158	168
873	1158	167
874	1159	165
875	1160	164
876	1162	163
877	1163	161
878	1164	160
879	1164	158
880	1165	157
881	1166	156
882	1167	154
883	1168	153
884	1169	151
885	1170	150
886	1170	149
887	1171	147
888	1172	146
889	1173	145
890	1174	143
891	1175	142
892	1177	141
893	1178	139
894	1179	138
895	1180	137
896	1181	135
897	1182	134
898	1183	132
899	1184	131
900	1185	130
901	1185	128
902	1186	127
903	1187	126
904	1188	124
905	1189	123
906	1191	122
907	1192	120
908	1193	119
909	1194	118
910	1194	116
911	1195	115
912	1196	114
913	1197	112
914	1198	111
915	1199	109
916	1200	108
917	1200	107
918	1201	105
919	1202	104
920	1203	103
921	1204	101
922	1206	100
923	1207	99
924	1208	97
925	1208	96
926	1209	95
927	1210	93
928	1211	92
929	1212	91
930	1213	89
931	1214	88
932	1214	87
933	1216	85
934	1216	84
935	1217	83
936	1218	81
937	1219	80
938	1221	79
939	1222	78
940	1223	76
941	1224	75
942	1225	74
943	1226	72
944	1227	71
945	1228	70
946	1229	68
947	1230	67
948	1231	66
949	1232	64
950	1232	63
951	1233	62
952	1236	60
953	1237	59
954	1239	58
955	1240	57
956	1241	55
957	1242	54
958	1242	53
959	1244	51
960	1245	50
961	1245	49
962	1246	47
963	1247	46
964	1248	45
965	1251	44
966	1252	42
967	1254	41
968	1255	40
969	1256	38
970	1257	37
971	1258	36
972	1258	34
973	1259	33
974	1260	32
975	1261	31
976	1262	29
977	1263	28
978	1265	27
979	1267	25
980	1268	24
981	1269	23
982	1270	21
983	1270	20
984	1271	19
985	1272	18
986	1273	16
987	1274	15
988	1275	14
989	1276	12
990	1277	11
991	1278	10
992	1279	9
993	1281	7
994	1282	6
995	1283	5
996	1284	3
997	1285	2
998	1286	1
999	1287	0
971	1491	42
972	1492	41
973	1494	39
974	1495	38
975	1496	36
976	1497	35
977	1498	33
978	1499	32
979	1500	30
980	1501	29
981	1502	27
982	1503	26
983	1505	24
984	1506	22
985	1507	21
986	1510	19
987	1511	18
988	1512	16
989	1513	15
990	1515	13
991	1516	12
992	1517	10
993	1518	9
994	1519	7
995	1520	6
996	1521	4
997	1522	3
998	1524	1
999	1525	0
